t=2025-10-31T13:18:40+0000 lvl=info msg="no configuration paths supplied"
t=2025-10-31T13:18:40+0000 lvl=info msg="using configuration at default config path" path=/home/ubuntu/.config/ngrok/ngrok.yml
t=2025-10-31T13:18:40+0000 lvl=info msg="open config file" path=/home/ubuntu/.config/ngrok/ngrok.yml err=nil
t=2025-10-31T13:18:40+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-31T13:18:41+0000 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-31T13:18:41+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-31T13:18:41+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://villiform-parker-perfunctorily.ngrok-free.dev
t=2025-10-31T13:18:42+0000 lvl=info msg=start pg=/api/tunnels id=fa8ff5efe1cdf0c7
t=2025-10-31T13:18:42+0000 lvl=info msg=end pg=/api/tunnels id=fa8ff5efe1cdf0c7 status=200 dur=226.965µs
t=2025-10-31T13:19:47+0000 lvl=warn msg="failed to open private leg" id=cca059dfeef0 privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2025-10-31T13:19:48+0000 lvl=warn msg="failed to open private leg" id=af3ebd019d1c privaddr=localhost:3000 err="dial tcp [::1]:3000: connect: connection refused"
t=2025-10-31T13:42:37+0000 lvl=info msg="join connections" obj=join id=b03aee62bc9a l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:37+0000 lvl=info msg="join connections" obj=join id=a3754ba7ef4c l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:37+0000 lvl=info msg="join connections" obj=join id=7333cec6d42b l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:37+0000 lvl=info msg="join connections" obj=join id=4ecfd8def8a0 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:37+0000 lvl=info msg="join connections" obj=join id=34d7c5498f01 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:38+0000 lvl=info msg="join connections" obj=join id=b4965e9ab1bb l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:38+0000 lvl=info msg="join connections" obj=join id=ee2f93deb5dd l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:38+0000 lvl=info msg="join connections" obj=join id=c3f136e98937 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:38+0000 lvl=info msg="join connections" obj=join id=91fc8840aba8 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:38+0000 lvl=info msg="join connections" obj=join id=7ae6511e3098 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:39+0000 lvl=info msg="join connections" obj=join id=45e7d48f82e1 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33978
t=2025-10-31T13:42:39+0000 lvl=info msg="join connections" obj=join id=1b1aeab70131 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:41+0000 lvl=info msg="join connections" obj=join id=080ed7a6a148 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:51+0000 lvl=info msg="join connections" obj=join id=0c4d9c9da7b3 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:42:57+0000 lvl=info msg="join connections" obj=join id=d705dcea4178 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:33976
t=2025-10-31T13:44:35+0000 lvl=info msg="join connections" obj=join id=3df1ebc0cd52 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58438
t=2025-10-31T13:45:34+0000 lvl=info msg="join connections" obj=join id=a7dc9ede7797 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:58438
t=2025-10-31T13:46:34+0000 lvl=info msg="join connections" obj=join id=4b77682d1db0 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:38966
t=2025-10-31T13:46:59+0000 lvl=info msg="join connections" obj=join id=dc868ec87dd1 l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:38966
t=2025-10-31T13:47:00+0000 lvl=info msg="join connections" obj=join id=6eb3c296bd6d l=127.0.0.1:3000 r=[2409:40e1:3085:36ed:8000::]:38966
